SiteCode,name,value,vline
BAjuss,intercepto,0.10183911991489013,0
BAjuss,inclinação,1.9574422829794091,1
BAlenc4,intercepto,-0.19674756729027829,0
BAlenc4,inclinação,1.4349823104012693,1
BAuruc,intercepto,0.07403305217447438,0
BAuruc,inclinação,1.470830235602044,1
ESsoor,intercepto,0.01666614140494176,0
ESsoor,inclinação,3.1194697992519584,1
MGipia1,intercepto,-0.23273302763229717,0
MGipia1,inclinação,1.1663989155294998,1
MGlavr2,intercepto,0.15208545366311416,0
MGlavr2,inclinação,1.070992046143134,1
MGlavr3,intercepto,-0,0
MGlavr3,inclinação,-0,1
MGlavr6,intercepto,-0.657494216025225,0
MGlavr6,inclinação,0.9324622446593025,1
MGmadre4,intercepto,-0.10055746341268852,0
MGmadre4,inclinação,1.1141559358646849,1
MGubera,intercepto,0.10622570809956797,0
MGubera,inclinação,0.9737162186913682,1
MGuberl1,intercepto,0.18441443354216,0
MGuberl1,inclinação,1.2809280194325363,1
MGuberl3,intercepto,-0.1031507009635813,0
MGuberl3,inclinação,1.0099437673135583,1
MGuberl5,intercepto,-0.09258389051005612,0
MGuberl5,inclinação,0.9935823158191813,1
MGuberl6,intercepto,0.06608439588298785,0
MGuberl6,inclinação,1.1976509673050677,1
MGuberl7,intercepto,0.04344744906372179,0
MGuberl7,inclinação,0.9940529426119868,1
MGvico1,intercepto,-0.18751010518740005,0
MGvico1,inclinação,1.062197725726939,1
MGvico16,intercepto,-0.05470285937160668,0
MGvico16,inclinação,1.0910775876438257,1
MGvico3,intercepto,-0.01676166565814863,0
MGvico3,inclinação,1.1558487709612024,1
MGvico4,intercepto,-0.030745957688637814,0
MGvico4,inclinação,1.0685292317977297,1
MSdour,intercepto,0.07592128378417311,0
MSdour,inclinação,1.3174704548058793,1
MSjatei,intercepto,-0.1968950107190264,0
MSjatei,inclinação,1.160687260325077,1
PEalia,intercepto,-0.25066300452382434,0
PEalia,inclinação,1.220037998279379,1
PEbrejo,intercepto,-0.18813899141538282,0
PEbrejo,inclinação,1.4162134849618688,1
PEcabo2,intercepto,0.002480655069618502,0
PEcabo2,inclinação,1.103192825531487,1
PEcaru1,intercepto,-0.0016052307016860327,0
PEcaru1,inclinação,1.3121733271695692,1
PEmata2,intercepto,0.08418018246805528,0
PEmata2,inclinação,1.006959562849649,1
PEsvfer,intercepto,-0.11476774390184896,0
PEsvfer,inclinação,1.6061778503942485,1
PRanto10,intercepto,-0.014504022076988293,0
PRanto10,inclinação,1.092241392527969,1
PRanto11,intercepto,-0.03184434628408941,0
PRanto11,inclinação,1.101173124130912,1
PRanto12,intercepto,0.043072638639896584,0
PRanto12,inclinação,1.6673014662608159,1
PRanto13,intercepto,-0.16014517433381023,0
PRanto13,inclinação,0.7058617408240422,1
PRanto15,intercepto,0.288722216908781,0
PRanto15,inclinação,2.717986746373751,1
PRanto4,intercepto,0.07330650849651861,0
PRanto4,inclinação,1.5808961074482208,1
PRanto5,intercepto,-0.004321280298573886,0
PRanto5,inclinação,1.1306396789724533,1
PRanto6,intercepto,0.5910445536044591,0
PRanto6,inclinação,5.818630887986458,1
PRanto8,intercepto,-0.10795702319119933,0
PRanto8,inclinação,1.0266038579413772,1
PRanto9,intercepto,-0.22871485350932697,0
PRanto9,inclinação,1.367651748559284,1
PRdiam2,intercepto,0.027244020598390664,0
PRdiam2,inclinação,1.4049479637137823,1
PRdiam3,intercepto,-0.035045913401501275,0
PRdiam3,inclinação,1.3672774493999313,1
PRdiam4,intercepto,-0.23417469404933186,0
PRdiam4,inclinação,2.181909398498226,1
PRipir,intercepto,-0.39841223494393735,0
PRipir,inclinação,1.1643204881238478,1
PRrico1,intercepto,-0.14371293844802974,0
PRrico1,inclinação,1.0669637634423754,1
PRrico3,intercepto,0.006795548103557717,0
PRrico3,inclinação,1.0230305226924286,1
PRsapo,intercepto,-0.1569617389364034,0
PRsapo,inclinação,1.3601433279202066,1
PRtele,intercepto,-0.08233961093714846,0
PRtele,inclinação,1.147513625113515,1
PRtiba1,intercepto,-0.05876765643578162,0
PRtiba1,inclinação,1.056803540318393,1
PRvent,intercepto,0.07751201176681317,0
PRvent,inclinação,1.028281941462258,1
RJpnrj,intercepto,0.2009411163092782,0
RJpnrj,inclinação,1.0992886351376436,1
RScach1,intercepto,-0.01572193013717023,0
RScach1,inclinação,1.001634981427032,1
RScach2,intercepto,-0.19264621164119236,0
RScach2,inclinação,1.1428476700494747,1
RScach3,intercepto,-0.2851633186469578,0
RScach3,inclinação,0.9624013183619219,1
RScach4,intercepto,-0.13171624275151672,0
RScach4,inclinação,1.3547124674425677,1
RScama,intercepto,0.253798006492947,0
RScama,inclinação,1.0839225208929235,1
RScamb1,intercepto,-0.38457532680616674,0
RScamb1,inclinação,1.1930568983419731,1
RScris,intercepto,-0.05704711322315048,0
RScris,inclinação,1.212590089893905,1
RSfaxi,intercepto,0.36793343816042323,0
RSfaxi,inclinação,1.1205765365162768,1
RSgaur,intercepto,-0.16122799927071685,0
RSgaur,inclinação,2.5433672656802413,1
RSmaqu4,intercepto,-0.11412481928552787,0
RSmaqu4,inclinação,1.0805967602716688,1
RSmorr1,intercepto,-0.025662768390979557,0
RSmorr1,inclinação,1.3368603317897847,1
RSpet1,intercepto,-0.21570262217063468,0
RSpet1,inclinação,1.0218202332120856,1
RSrioz1,intercepto,-0.05562489233755801,0
RSrioz1,inclinação,1.1782146278251595,1
RSsetape,intercepto,0.17548152456163446,0
RSsetape,inclinação,1.0439313030089559,1
RSsini,intercepto,0.14562811187025423,0
RSsini,inclinação,1.1980289976122005,1
RSsmar2,intercepto,0.46199228870161435,0
RSsmar2,inclinação,1.2348715029055086,1
RSvsol,intercepto,-0.09724761901971934,0
RSvsol,inclinação,1.1350465818049111,1
SCcric1,intercepto,0.11992487268615878,0
SCcric1,inclinação,1.0302744232130838,1
SCilho,intercepto,0.14740987290007393,0
SCilho,inclinação,2.5927600276593874,1
SCilho2,intercepto,0.14003133953272215,0
SCilho2,inclinação,2.488249103269227,1
SCorle,intercepto,0.276711827316727,0
SCorle,inclinação,1.0876712752437734,1
SCserra4,intercepto,0.20226620828579642,0
SCserra4,inclinação,1.1198116495498385,1
SCside,intercepto,0.08756710674666901,0
SCside,inclinação,0.9978291396885073,1
SCside1,intercepto,0.12256503837258557,0
SCside1,inclinação,1.1486467779360579,1
SCside4,intercepto,-0.05432320929425974,0
SCside4,inclinação,1.063858014259342,1
SCsjo1,intercepto,0.2264751140746126,0
SCsjo1,inclinação,1.10017385771577,1
SCtimbe1,intercepto,0.3266408829216201,0
SCtimbe1,inclinação,3.1125303304559107,1
SCvolta1,intercepto,-0.48938609520940934,0
SCvolta1,inclinação,0.25666568789825245,1
SCvolta2,intercepto,0.510946943598054,0
SCvolta2,inclinação,3.077852633747752,1
SPcana1,intercepto,0.08803259728399815,0
SPcana1,inclinação,1.2692162769559234,1
SPcara1,intercepto,-0.154412260724011,0
SPcara1,inclinação,4.0888221757224015,1
SPcara3,intercepto,0.12912984463726213,0
SPcara3,inclinação,1.0672588884131562,1
SPeec1,intercepto,0.059446268521946045,0
SPeec1,inclinação,1.66964599561065,1
SPeec4,intercepto,-0.09365354451163974,0
SPeec4,inclinação,1.559776445420358,1
SPeec5,intercepto,-0.30492342208182155,0
SPeec5,inclinação,0.6742524268010823,1
SPigua1,intercepto,0.004541579905174435,0
SPigua1,inclinação,1.4430838111090056,1
SPitir1,intercepto,0.08304316266022106,0
SPitir1,inclinação,1.097561912574718,1
SPjabo1,intercepto,0.22697415370016216,0
SPjabo1,inclinação,1.0591658035144218,1
SPpecb1,intercepto,0.08410388768561532,0
SPpecb1,inclinação,1.986337749850416,1
SPpei1,intercepto,0.016368955126978234,0
SPpei1,inclinação,0.4054597978762752,1
SPpesm6,intercepto,-0.09805104359476594,0
SPpesm6,inclinação,1.093291373136745,1
SPpesmA,intercepto,-0.0741837042801529,0
SPpesmA,inclinação,1.071172912760098,1
SPpesmB,intercepto,0.06611370131686373,0
SPpesmB,inclinação,1.4561072539143616,1
SPpesmC,intercepto,0.0721425022832287,0
SPpesmC,inclinação,1.4837907392132372,1
SPpesmD,intercepto,0.07144786217643757,0
SPpesmD,inclinação,1.0836054026832531,1
SPpesmE,intercepto,0.018252204188645912,0
SPpesmE,inclinação,1.562514880834667,1
SPpesmF,intercepto,0.01900637426842702,0
SPpesmF,inclinação,1.155230497947374,1
SPpesmG,intercepto,0.07960974176290175,0
SPpesmG,inclinação,1.7977797069467563,1
SPpesmH,intercepto,0.19779639593267204,0
SPpesmH,inclinação,2.457605648068469,1
SPpesmI,intercepto,0.1554235117833943,0
SPpesmI,inclinação,2.336302498746209,1
SPpesmJ,intercepto,0.1205587536311027,0
SPpesmJ,inclinação,2.513737036904215,1
SPpesmK,intercepto,0.060745426370721736,0
SPpesmK,inclinação,1.8491295116472313,1
SPpesmL,intercepto,-0.0887175101890419,0
SPpesmL,inclinação,0.6734307337047443,1
SPpesmM,intercepto,0.15794752920095215,0
SPpesmM,inclinação,1.8600541424818209,1
SPpesmN,intercepto,0.1695654655738202,0
SPpesmN,inclinação,1.397769617905391,1
SPpesmS,intercepto,-0.012619643232201884,0
SPpesmS,inclinação,3.8573079711676863,1
SPpesmU,intercepto,0.09741687261004513,0
SPpesmU,inclinação,2.5226659800802946,1
